dia	B	H	C	O	BN
1	0.257425743	0.059405941	0.118811881	0.287128713	0.277227723
1	0.22	0.06	0.12	0.32	0.28
4	0.23	0.08	0.11	0.31	0.27
4	0.202020202	0.141414141	0.101010101	0.272727273	0.282828283
8	0.297029703	0.079207921	0.118811881	0.267326733	0.237623762
8	0.25	0.07	0.11	0.31	0.26
8	0.26	0.08	0.11	0.29	0.26
9	0.266	0.083	0.119	0.314	0.218
10	0.237623762	0.089108911	0.128712871	0.326732673	0.217821782
11	0.262626263	0.101010101	0.121212121	0.282828283	0.232323232
11	0.232323232	0.161616162	0.111111111	0.262626263	0.232323232
13	0.26	0.13	0.13	0.29	0.19
13	0.282	0.176	0.108	0.177	0.257
15	0.33	0.16	0.14	0.21	0.16
17	0.282828283	0.191919192	0.111111111	0.202020202	0.212121212
18	0.28	0.16	0.13	0.26	0.17
18	0.28	0.16	0.11	0.22	0.23
18	0.27	0.17	0.1	0.2	0.26
18	0.297029703	0.168316832	0.069306931	0.287128713	0.178217822
19	0.262626263	0.222222222	0.141414141	0.222222222	0.151515152
21	0.28	0.22	0.11	0.21	0.18
22	0.326732673	0.227722772	0.099009901	0.217821782	0.128712871
23	0.27	0.21	0.12	0.22	0.18
24	0.312625251	0.20240481	0.101202405	0.201402806	0.182364729
25	0.285714286	0.214285714	0.112244898	0.214285714	0.173469388
25	0.293478261	0.239130435	0.086956522	0.293478261	0.086956522
27	0.277227723	0.217821782	0.108910891	0.247524752	0.148514851
27	0.282848546	0.252758275	0.094282849	0.169508526	0.200601805
28	0.29	0.24	0.11	0.21	0.15
29	0.306930693	0.237623762	0.089108911	0.247524752	0.118811881
29	0.31	0.21	0.11	0.2	0.17
